연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,cluster,cluster_3-5세,cluster_6-8세,cluster_9-11세
3-5세,300,240,2.5,1.0,0.52,0.625,5,4,3,2.0,,
3-5세,150,180,0.75,0.5,1.0,1.0,5,6,0,1.0,,
3-5세,60,120,1.0,0.25,1.0,1.0,2,5,0,1.0,,
3-5세,150,240,2.0,1.0,0.52,0.5,6,9,2,2.0,,
3-5세,80,120,2.5,1.0,0.625,0.5,3,7,2,2.0,,
3-5세,180,270,2.25,1.5,0.3333333333333333,0.4074074074074074,3,3,3,2.0,,
3-5세,150,120,2.5,0.25,0.6800000000000002,1.0,4,9,0,1.0,,
3-5세,60,150,0.75,0.75,1.0,0.3600000000000001,5,5,2,1.0,,
3-5세,120,120,2.0,0.5,0.5,0.5,4,4,2,2.0,,
3-5세,120,180,1.75,0.5,0.5,0.5555555555555556,2,2,2,2.0,,
3-5세,130,210,3.75,1.0,0.3254437869822486,0.4285714285714285,2,2,3,2.0,,
3-5세,480,1080,3.5,2.0,0.3125,0.2592592592592593,4,4,1,0.0,,
3-5세,120,120,0.75,0.25,1.0,1.0,4,9,0,1.0,,
3-5세,60,90,0.25,0.5,1.0,0.5555555555555556,1,1,0,1.0,,
3-5세,90,180,3.75,1.5,0.3333333333333333,0.3333333333333333,4,4,3,2.0,,
3-5세,60,300,0.75,0.5,1.0,1.0,2,5,0,1.0,,
3-5세,75,55,3.25,1.0,0.3600000000000001,0.3884297520661156,3,6,3,2.0,,
3-5세,0,30,0.0,0.5,0.0,0.5555555555555556,6,7,2,2.0,,
3-5세,60,60,0.75,0.5,1.0,1.0,6,6,0,1.0,,
3-5세,50,40,1.75,0.5,0.6800000000000002,1.0,6,6,0,1.0,,
3-5세,0,180,0.0,0.5,0.0,1.0,5,7,0,1.0,,
3-5세,0,240,0.0,0.75,0.0,0.625,6,6,2,2.0,,
3-5세,320,500,5.0,2.0,0.390625,0.3472,2,5,3,0.0,,
3-5세,60,120,0.5,0.5,1.0,1.0,3,5,0,1.0,,
3-5세,160,300,1.5,1.5,0.8828125,0.44,1,1,2,2.0,,
3-5세,100,180,2.5,0.75,0.52,0.5061728395061729,5,6,2,2.0,,
3-5세,0,300,0.0,0.5,0.0,1.0,7,7,0,1.0,,
3-5세,210,420,2.5,1.0,0.7551020408163265,0.5918367346938775,2,3,2,2.0,,
3-5세,160,210,2.75,1.25,0.4609375,0.4285714285714285,3,6,3,2.0,,
3-5세,180,180,1.5,0.5,0.5555555555555556,0.5555555555555556,6,6,2,2.0,,
3-5세,210,330,4.25,2.0,0.3877551020408163,0.3057851239669421,2,3,3,0.0,,
3-5세,150,180,2.0,1.0,0.3600000000000001,0.5555555555555556,3,3,2,2.0,,
3-5세,300,360,3.75,1.5,0.3600000000000001,0.3888888888888889,5,6,3,0.0,,
3-5세,30,180,0.5,1.0,1.0,0.5555555555555556,3,6,2,1.0,,
3-5세,420,540,1.25,1.0,0.7551020408163265,0.3827160493827161,4,4,2,0.0,,
3-5세,240,420,2.5,1.0,0.5,0.510204081632653,3,5,3,2.0,,
3-5세,150,180,2.5,1.0,0.6800000000000002,0.5555555555555556,2,2,2,2.0,,
3-5세,60,60,0.75,0.5,0.5,0.5,2,6,2,1.0,,
3-5세,120,240,1.5,0.5,0.5,0.5,4,5,2,2.0,,
3-5세,300,420,5.0,2.0,0.28,0.3061224489795918,3,2,3,0.0,,
3-5세,160,160,3.75,1.5,0.4609375,0.4609375,4,4,3,2.0,,
3-5세,210,210,2.25,0.75,0.4285714285714285,0.7551020408163265,2,2,2,2.0,,
3-5세,120,180,1.25,0.75,1.0,0.5555555555555556,3,3,2,1.0,,
3-5세,90,90,2.5,1.0,0.5555555555555556,0.5555555555555556,3,6,2,2.0,,
3-5세,90,90,1.75,0.75,0.5555555555555556,0.5555555555555556,2,9,2,2.0,,
3-5세,90,240,1.5,0.5,0.5555555555555556,0.625,2,3,2,1.0,,
3-5세,180,180,0.5,0.5,1.0,1.0,6,6,0,1.0,,
3-5세,360,360,1.5,1.0,0.7222222222222223,0.5555555555555556,3,7,2,2.0,,
3-5세,300,360,3.25,1.75,0.3600000000000001,0.2777777777777778,3,6,3,0.0,,
3-5세,1320,720,1.5,0.75,0.8305785123966941,0.7083333333333334,3,3,1,0.0,,
3-5세,180,150,2.25,1.0,0.3333333333333333,0.3600000000000001,2,2,2,2.0,,
3-5세,60,60,0.5,0.25,1.0,1.0,2,3,0,1.0,,
3-5세,40,60,1.25,0.5,1.0,1.0,2,6,0,1.0,,
3-5세,180,180,2.5,0.5,0.5555555555555556,1.0,5,5,0,1.0,,
3-5세,30,40,0.75,1.0,0.3333333333333333,0.5,4,4,2,2.0,,
3-5세,240,300,3.75,1.5,0.375,0.3600000000000001,5,7,3,2.0,,
3-5세,50,180,2.5,1.0,0.52,0.5555555555555556,3,7,2,2.0,,
3-5세,120,120,2.5,1.0,0.5,0.5,5,9,2,2.0,,
3-5세,90,120,1.25,1.0,0.5555555555555556,0.5,3,7,2,2.0,,
3-5세,0,30,0.0,0.25,0.0,1.0,4,5,0,1.0,,
3-5세,190,120,2.5,1.0,0.5346260387811634,0.5,7,7,2,2.0,,
3-5세,124,122,1.75,0.5,0.9682622268470344,1.0,6,6,0,1.0,,
3-5세,120,120,0.75,0.75,0.5,0.5,6,6,2,2.0,,
3-5세,150,150,1.0,0.5,0.6800000000000002,0.6800000000000002,3,6,2,1.0,,
3-5세,210,350,1.75,0.75,0.346938775510204,0.4906122448979592,5,3,2,2.0,,
3-5세,60,60,0.25,0.25,1.0,1.0,6,6,0,1.0,,
3-5세,120,240,2.5,1.0,0.5,0.5,7,7,2,2.0,,
3-5세,140,140,1.5,0.75,0.7551020408163265,0.7551020408163265,5,7,0,1.0,,
3-5세,360,540,2.5,1.0,0.7222222222222223,0.654320987654321,2,2,3,0.0,,
3-5세,150,240,5.0,2.0,0.28,0.25,7,7,3,0.0,,
3-5세,840,240,1.25,1.0,1.0,0.625,3,3,1,0.0,,
3-5세,120,240,1.0,0.25,1.0,1.0,5,7,0,1.0,,
3-5세,30,60,1.25,0.5,1.0,1.0,7,9,0,1.0,,
3-5세,180,210,2.0,1.0,0.5555555555555556,0.4285714285714285,1,1,2,2.0,,
3-5세,60,120,1.25,0.5,1.0,1.0,4,4,0,1.0,,
3-5세,140,60,2.0,0.25,0.7551020408163265,1.0,5,5,0,1.0,,
3-5세,80,240,2.5,1.0,0.625,0.625,3,5,2,2.0,,
3-5세,70,110,1.75,1.0,0.4285714285714285,0.4380165289256198,7,5,2,2.0,,
3-5세,240,240,5.0,2.0,0.25,0.25,4,4,3,0.0,,
3-5세,80,150,2.0,0.5,0.625,0.6800000000000002,5,6,2,1.0,,
3-5세,255,435,3.5,1.5,0.5916955017301038,0.3840665873959571,3,3,3,0.0,,
3-5세,150,210,2.5,1.0,0.6800000000000002,0.7551020408163265,2,4,2,2.0,,
3-5세,90,210,2.0,1.5,0.5555555555555556,0.4285714285714285,4,6,3,2.0,,
3-5세,60,60,2.0,0.75,0.5,0.5,4,6,2,2.0,,
3-5세,60,120,1.25,0.5,1.0,1.0,6,6,0,1.0,,
3-5세,300,540,3.0,1.0,0.44,0.4074074074074074,2,2,3,0.0,,
3-5세,300,300,2.0,1.0,0.52,0.52,7,6,2,2.0,,
